id,class,H,T
252,1,1.3,10.06
253,1,1.3,10.06
254,1,1.3,10.06
255,1,1.3,10.06
256,1,1.3,10.06
257,1,1.3,10.06
258,1,1.3,10.06
259,1,1.3,10.06
260,1,1.3,10.06
261,1,1.3,10.06
262,1,1.3,10.06
263,1,1.3,10.06
264,1,1.3,10.06
265,1,1.3,10.06
266,1,1.3,10.06
267,1,1.3,10.06
268,1,1.3,10.06
269,1,1.3,10.06
270,1,1.3,10.06
271,1,1.3,10.06
272,1,1.3,10.06
273,1,1.3,10.06
274,1,1.3,10.06
275,1,1.3,10.06
276,1,1.3,10.06
277,1,1.3,10.06
278,1,1.3,10.06
279,1,1.3,10.06
280,1,1.3,10.06
281,1,1.3,10.06
282,1,1.3,10.06
283,1,1.3,10.06
284,1,1.3,10.06
285,1,1.3,10.06
286,1,1.3,10.06
287,1,1.3,10.06
288,1,1.3,10.06
289,1,1.3,10.06
290,1,1.3,10.06
291,1,1.3,10.06
292,1,1.3,10.06
293,1,1.3,10.06
294,1,1.3,10.06
295,1,1.3,10.06
296,1,1.3,10.06
297,1,1.3,10.06
298,1,1.3,10.06
299,1,1.3,10.06
300,1,1.3,10.06
301,1,1.3,10.06
302,1,1.3,10.06
303,1,1.3,10.06
304,1,1.3,10.06
305,1,1.3,10.06
306,1,1.3,10.06
307,1,1.3,10.06
308,1,1.3,10.06
309,1,1.3,10.06
310,1,1.3,10.06
311,1,1.3,10.06
312,1,1.3,10.06
313,1,1.3,10.06
314,1,1.3,10.06
315,1,1.3,10.06
316,1,1.3,10.06
317,1,1.3,10.06
318,1,1.3,10.06
319,1,1.3,10.06
320,1,1.3,10.06
321,1,1.3,10.06
322,1,1.3,10.06
323,1,1.3,10.06
324,1,1.3,10.06
325,1,1.3,10.06
326,1,1.3,10.06
327,1,1.3,10.06
328,1,1.3,10.06
329,1,1.3,10.06
330,1,1.3,10.06
331,1,1.3,10.06
332,1,1.3,10.06
333,1,1.3,10.06
334,1,1.3,10.06
335,1,1.3,10.06
336,1,1.3,10.06
337,1,1.3,10.06
338,1,1.3,10.06
339,1,1.3,10.06
340,1,1.3,10.06
341,1,1.3,10.06
342,1,1.3,10.06
343,1,1.3,10.06
344,1,1.3,10.06
345,1,1.3,10.06
346,1,1.3,10.06
347,1,1.3,10.06
348,1,1.3,10.06
349,1,1.3,10.06
350,1,1.3,10.06
351,1,1.3,10.06
352,1,1.3,10.06
353,1,1.3,10.06
354,1,1.3,10.06
355,1,1.3,10.06
356,1,1.3,10.06
357,1,1.3,10.06
358,1,1.3,10.06
359,1,1.3,10.06
360,1,1.3,10.06
361,1,1.3,10.06
362,1,1.3,10.06
363,1,1.3,10.06
364,1,1.3,10.06
365,1,1.3,10.06
366,1,1.3,10.06
367,1,1.3,10.06
368,1,1.3,10.06
369,1,1.3,10.06
370,1,1.3,10.06
371,1,1.3,10.06
372,1,1.3,10.06
373,1,1.3,10.06
374,1,1.3,10.06
375,1,1.3,10.06
376,1,1.3,10.06
377,1,1.3,10.06
378,1,1.3,10.06
379,1,1.3,10.06
380,1,1.3,10.06
381,1,1.3,10.06
382,1,1.3,10.06
383,1,1.3,10.06
384,1,1.3,10.06
385,1,1.3,10.06
386,1,1.3,10.06
387,1,1.3,10.06
388,1,1.3,10.06
389,1,1.3,10.06
390,1,1.3,10.06
391,1,1.3,10.06
392,1,1.3,10.06
393,1,1.3,10.06
394,1,1.3,10.06
395,1,1.3,10.06
396,1,1.3,10.06
397,1,1.3,10.06
398,1,1.3,10.06
399,1,1.3,10.06
400,1,1.3,10.06
401,1,1.3,10.06
402,1,1.3,10.06
403,1,1.3,10.06
404,1,1.3,10.06
405,1,1.3,10.06
406,1,1.3,10.06
407,1,1.3,10.06
408,1,1.3,10.06
409,1,1.3,10.06
410,1,1.3,10.06
411,1,1.3,10.06
412,1,1.3,10.06
413,1,1.3,10.06
414,1,1.3,10.06
415,1,1.3,10.06
416,1,1.3,10.06
417,1,1.3,10.06
418,1,1.3,10.06
419,1,1.3,10.06
420,1,1.3,10.06
421,1,1.3,10.06
422,1,1.3,10.06
423,1,1.3,10.06
424,1,1.3,10.06
425,1,1.3,10.06
426,1,1.3,10.06
427,1,1.3,10.06
428,1,1.3,10.06
429,1,1.3,10.06
430,1,1.3,10.06
431,1,1.3,10.06
432,1,1.3,10.06
433,1,1.3,10.06
434,1,1.3,10.06
435,1,1.3,10.06
436,1,1.3,10.06
437,1,1.3,10.06
438,1,1.3,10.06
439,1,1.3,10.06
440,1,1.3,10.06
441,1,1.3,10.06
442,1,1.3,10.06
443,1,1.3,10.06
444,1,1.3,10.06
445,1,1.3,10.06
446,1,1.3,10.06
447,1,1.3,10.06
448,1,1.3,10.06
449,1,1.3,10.06
450,1,1.3,10.06
451,1,1.3,10.06
452,1,1.3,10.06
453,1,1.3,10.06
454,1,1.3,10.06
455,1,1.3,10.06
456,1,1.3,10.06
457,1,1.3,10.06
458,1,1.3,10.06
459,1,1.3,10.06
460,1,1.3,10.06
461,1,1.3,10.06
462,1,1.3,10.06
463,1,1.3,10.06
464,1,1.3,10.06
465,1,1.3,10.06
466,1,1.3,10.06
467,1,1.3,10.06
468,1,1.3,10.06
469,1,1.3,10.06
470,1,1.3,10.06
471,1,1.3,10.06
472,1,1.3,10.06
473,1,1.3,10.06
474,1,1.3,10.06
475,1,1.3,10.06
476,1,1.3,10.06
477,1,1.3,10.06
478,1,1.3,10.06
479,1,1.3,10.06
480,1,1.3,10.06
481,1,1.3,10.06
482,1,1.3,10.06
483,1,1.3,10.06
484,1,1.3,10.06
485,1,1.3,10.06
486,1,1.3,10.06
487,1,1.3,10.06
488,1,1.3,10.06
489,1,1.59,9.79
490,1,1.62,9.82
491,1,1.63,9.62
492,1,1.65,9.42
493,1,1.69,9.21
494,1,1.72,9.87
495,1,1.73,11.87
496,1,1.72,13.01
497,1,1.69,13.11
498,1,1.64,13.1
499,1,1.59,13
500,1,1.59,12.84
501,1,1.62,12.65
502,1,1.61,12.7
503,1,1.57,12.91
504,1,1.53,12.81
505,1,1.5,12.62
506,1,1.52,12.73
507,1,1.56,12.93
508,1,1.54,12.78
509,1,1.51,12.55
510,1,1.48,12.33
511,1,1.44,12.04
512,1,1.41,11.81
513,1,1.38,11.58
514,1,1.35,11.36
515,1,1.32,11.03
516,1,1.28,10.53
517,1,1.28,10.25
518,1,1.32,10.25
519,1,1.36,10.25
520,1,1.38,10.25
521,1,1.44,10.2
522,1,1.52,10.1
523,1,1.56,8.7
524,1,1.58,6.63
525,1,1.61,5.92
526,1,1.63,5.83
527,1,1.67,5.99
528,1,1.7,6.19
529,1,1.69,6.39
530,1,1.67,6.58
531,1,1.64,6.58
532,1,1.61,6.58
533,1,1.57,6.28
534,1,1.53,5.96
535,1,1.45,5.34
536,1,1.4,4.84
537,1,1.44,4.84
538,1,1.47,4.84
539,1,1.47,4.84
540,1,1.43,7.58
541,1,1.43,10.16
542,1,1.44,12.14
543,1,1.45,11.94
544,1,1.45,11.83
545,1,1.41,11.93
546,1,1.36,12
547,1,1.29,12
548,1,1.26,12.13
549,1,1.27,12.42
550,1,1.28,12.28
551,1,1.3,11.66
552,1,1.38,10.59
553,1,1.49,9.23
554,1,1.26,9.13
555,1,0.81,9.84
556,1,0.68,10.07
557,1,0.73,10.07
558,1,0.74,10.07
559,1,0.76,10.07
560,1,0.8,10.07
561,1,0.83,10.07
562,1,0.84,10.07
563,1,0.84,10.1
564,1,0.83,10.2
565,1,0.83,10.26
566,1,0.84,10.26
567,1,0.84,10.43
568,1,0.82,10.83
569,1,0.8,12.63
570,1,0.77,15.88
571,1,0.75,17.3
572,1,0.74,17.4
573,1,0.75,17.56
574,1,0.78,17.75
575,1,0.79,17.95
576,1,0.81,18.15
577,1,0.81,17.99
578,1,0.82,17.69
579,1,0.82,15.34
580,1,0.83,12.41
581,1,0.83,11.82
582,1,0.84,11.61
583,1,0.87,11.6
584,1,0.9,11.6
585,1,1.02,13.38
586,1,0.98,12.96
587,1,0.96,12.81
588,1,0.94,12.67
589,1,0.93,12.53
590,1,0.91,12.38
591,1,0.9,12.24
592,1,0.88,12.1
593,1,0.87,11.96
594,1,0.85,11.81
595,1,0.84,11.67
596,1,0.82,11.53
597,1,0.8,11.09
598,1,0.78,9.97
599,1,0.76,9.3
600,1,0.77,9.3
601,1,0.78,10.15
602,1,0.81,12.05
603,1,0.84,12.92
604,1,0.87,12.82
605,1,0.92,12.66
606,1,0.99,12.46
607,1,1.05,11.26
608,1,1.1,9.55
609,1,1.16,9.03
610,1,1.23,8.97
611,1,1.29,9.26
612,1,1.34,9.51
613,1,1.31,10.84
614,1,1.3,10.74
615,1,1.3,10.57
616,1,1.33,10.04
617,1,1.33,9.87
618,1,1.3,9.87
619,1,1.36,10.2
620,1,1.45,10.7
621,1,1.48,10.84
622,1,1.49,10.84
623,1,1.52,10.94
624,1,1.56,11.07
625,1,1.6,11.19
626,1,1.64,11.32
627,1,1.68,11.45
628,1,1.72,11.57
629,1,1.76,11.7
630,1,1.8,11.82
631,1,1.84,11.95
632,1,1.88,12.08
633,1,1.92,12.2
634,1,1.96,12.33
635,1,2,12.45
636,1,2.04,12.58
637,1,2.08,12.71
638,1,2.12,12.83
639,1,2.16,12.96
640,1,2.2,13.08
641,1,2.24,13.21
642,1,2.28,13.33
643,1,2.32,13.46
644,1,2.36,13.59
645,1,2.41,13.71
646,1,2.45,13.84
647,1,2.49,13.96
648,1,2.54,14.14
649,1,2.58,14.27
650,1,2.62,14.39
651,1,2.68,14.5
652,1,2.85,14.5
653,1,2.98,14.48
654,1,2.93,14.38
655,1,2.94,14.28
656,1,3.08,14.18
657,1,3.39,14.11
658,1,1.88,14.28
659,1,1.97,14.03
660,1,2,14.09
661,1,2.17,14.1
662,1,2.27,14.1
663,1,2.3,14.59
664,1,2.3,14.7
665,1,2.3,14.6
666,1,2.33,10.92
667,1,2.35,7.23
668,1,2.31,10.77
669,1,2.3,13.93
670,1,2.53,14.04
671,1,2.72,14.35
672,1,2.69,15.66
673,1,2.62,16.35
674,1,2.44,15.14
675,1,2.39,14.33
676,1,2.58,14.33
677,1,2.6,14.29
678,1,2.31,14.19
679,1,2.32,14.22
680,1,2.74,14.42
681,1,2.71,14.52
682,1,2.23,9.01
683,1,2.23,8.93
684,1,2.26,8.63
685,1,2.27,8.54
686,1,2.28,8.45
687,1,2.29,8.36
688,1,2.29,8.27
689,1,2.3,8.19
690,1,2.31,8.1
691,1,2.32,8.01
692,1,2.33,7.92
693,1,2.33,7.84
694,1,2.34,7.75
695,1,2.24,7.85
696,1,2.16,7.9
697,1,2.23,7.61
698,1,2.27,7.39
699,1,2.21,7.59
700,1,2.17,7.71
701,1,2.21,7.51
702,1,2.24,7.3
703,1,2.27,7.1
704,1,2.28,6.8
705,1,2.27,6.31
706,1,2.26,6.01
707,1,2.26,6.01
708,1,2.25,6.06
709,1,2.25,6.16
710,1,2.22,8.49
711,1,2.15,12.37
712,1,2.1,12.15
713,1,2.05,9.18
714,1,2.11,7.5
715,1,2.17,6.8
716,1,2.11,7.09
717,1,2.05,7.34
718,1,1.95,7.34
719,1,1.88,7.5
720,1,1.91,8.2
721,1,1.96,8.73
722,1,2.03,8.83
723,1,2.09,8.83
724,1,2.12,8.63
725,1,2.11,8.59
726,1,2.04,8.79
727,1,1.98,8.99
728,1,1.93,9.2
729,1,1.85,9.4
730,1,1.75,9.59
731,1,1.71,9.73
732,1,1.71,9.83
733,1,1.68,9.79
734,1,1.64,9.69
735,1,1.6,9.36
736,1,1.57,8.96
737,1,1.51,8.82
738,1,1.43,8.71
739,1,1.43,8.99
740,1,1.44,9.29
741,1,1.41,8.99
742,1,1.39,8.75
743,1,1.36,9.36
744,1,1.34,8.89
745,1,1.32,7.22
746,1,1.36,6.6
747,1,1.44,6.65
748,1,1.51,6.69
749,1,1.59,6.73
750,1,1.66,6.77
751,1,1.74,6.81
752,1,1.81,6.86
753,1,1.89,6.9
754,1,1.96,6.94
755,1,2.04,6.98
756,1,2.11,7.03
757,1,2.18,7.07
758,1,2.26,7.11
759,1,2.33,7.15
760,1,2.31,7.15
761,1,2.29,7.14
762,1,2.27,7.04
763,1,2.3,6.85
764,1,2.24,7.12
765,1,2.18,7.41
766,1,2.17,7.72
767,1,2.12,7.96
768,1,1.94,7.99
769,1,1.9,7.7
770,1,1.87,8.52
771,1,1.81,11.49
772,1,1.82,11.98
773,1,1.85,11.98
774,1,1.85,11.72
775,1,1.85,11.42
776,1,1.86,11.4
777,1,1.88,11.4
778,1,1.94,11.4
779,1,2.01,11.41
780,1,1.91,11.41
781,1,1.81,11.88
782,1,1.79,15.9
783,1,1.76,18.85
784,1,1.7,15.47
785,1,1.66,12.6
786,1,1.67,11.77
787,1,1.68,11.15
788,1,1.69,10.94
789,1,1.72,10.78
790,1,1.76,10.68
791,1,1.81,10.53
792,1,1.84,10.33
793,1,1.83,10.37
794,1,1.78,10.57
795,1,1.76,10.77
796,1,1.76,10.97
797,1,1.75,11.32
798,1,1.75,11.72
799,1,1.7,11.87
800,1,1.64,11.97
801,1,1.65,12.08
802,1,1.66,12.18
803,1,1.61,12.32
804,1,1.58,12.37
805,1,1.55,12.37
806,1,1.55,12.33
807,1,1.55,12.23
808,1,1.54,12.13
809,1,1.51,12.01
810,1,1.48,11.89
811,1,1.46,11.77
812,1,1.43,11.66
813,1,1.41,11.54
814,1,1.38,11.42
815,1,1.35,11.3
816,1,1.33,11.18
817,1,1.3,11.07
818,1,1.27,10.95
819,1,1.25,10.83
820,1,1.24,10.82
821,1,1.23,10.82
822,1,1.21,11.12
823,1,1.19,11.4
824,1,1.17,11.31
825,1,1.16,11.22
826,1,1.16,11.22
827,1,1.15,11.28
828,1,1.12,11.69
829,1,1.09,11.98
830,1,1.06,11.88
831,1,1.04,10.74
832,1,1.06,6.9
833,1,1.09,6.03
834,1,1.12,11.62
835,1,1.08,12.66
836,1,1.02,12.76
837,1,1.04,13.02
838,1,1.08,13.33
839,1,1.11,13.12
840,1,1.14,12.81
841,1,1.15,12.87
842,1,1.15,12.97
843,1,1.17,13.17
844,1,1.19,13.54
845,1,1.19,16.42
846,1,1.18,19.16
847,1,1.12,19.26
848,1,1.08,19.06
849,1,1.12,17.15
850,1,1.15,15.63
851,1,1.13,15.44
852,1,1.12,14.98
853,1,1.13,13.54
854,1,1.14,12.31
855,1,1.13,11.48
856,1,1.15,11.07
857,1,1.2,11.16
858,1,1.25,11.22
859,1,1.3,11.22
860,1,1.32,11.22
861,1,1.33,11.22
862,1,1.32,11.03
863,1,1.3,10.74
864,1,1.3,10.76
865,1,1.33,11.02
866,1,1.31,10.92
867,1,1.29,10.89
868,1,1.25,11.58
869,1,1.2,12.22
870,1,1.14,12.43
871,1,1.1,12.53
872,1,1.12,12.43
873,1,1.11,12.33
874,1,1.1,12.24
875,1,1.07,12.18
876,1,1.02,12.18
905,1,0.72,14.62
906,1,0.77,14.51
907,1,0.77,14.51
908,1,1.22,10.46
909,1,1.8,5.3
910,1,1.87,5.19
911,1,1.81,6.1
912,1,1.79,6
913,1,1.87,5.8
914,1,1.95,5.54
915,1,1.98,5.35
916,1,2.09,5.23
917,1,2.31,5.23
918,1,2.35,5.49
919,1,2.22,5.99
920,1,2.22,5.95
921,1,2.31,5.55
922,1,2.4,5.41
923,1,2.5,5.41
924,1,2.42,5.68
925,1,2.26,6.08
926,1,2.21,6.19
927,1,2.18,6.19
928,1,2.15,5.95
929,1,2.12,5.64
930,1,2.11,5.96
931,1,2.11,6.36
932,1,2.06,6.48
933,1,2.01,6.58
934,1,1.95,6.48
935,1,1.88,6.38
936,1,1.76,6.38
937,1,1.66,6.58
938,1,1.66,8.36
939,1,1.65,9.85
940,1,1.61,9.75
941,1,1.6,9.04
942,1,1.67,6.42
943,1,1.71,4.71
944,1,1.71,4.41
945,1,1.76,4.83
946,1,1.81,5.6
947,1,2,5.73
948,1,2.24,5.64
949,1,2.24,5.38
950,1,2.18,5.07
951,1,2.23,5.02
952,1,2.3,5.02
953,1,2.26,5.02
954,1,2.2,5.03
955,1,2.19,5.13
956,1,2.16,5.22
957,1,2.06,5.22
958,1,1.96,5.25
959,1,1.84,5.45
960,1,1.77,5.59
961,1,1.84,5.49
962,1,1.89,5.6
963,1,1.85,6.41
964,1,1.79,6.81
965,1,1.69,6.31
966,1,1.63,5.96
967,1,1.68,5.86
968,1,1.72,5.8
969,1,1.74,5.79
970,1,1.72,6.27
971,1,1.67,7.13
972,1,1.61,7.99
973,1,1.55,8.94
974,1,1.5,9.8
975,1,1.43,10.92
976,1,1.38,11.79
977,1,1.32,12.65
978,1,1.27,13.51
979,1,1.22,14.37
980,1,1.16,15.24
981,1,1.11,16.1
982,1,1.06,16.96
983,1,1,17.82
984,1,0.95,18.69
985,1,0.96,19.2
986,1,1.05,19.3
987,1,1.15,19.35
988,1,1.26,19.35
989,1,1.34,19.35
990,1,1.4,19.35
991,1,1.41,19.35
992,1,1.4,19.36
993,1,1.42,19.36
994,1,1.45,19.36
995,1,1.42,19.36
996,1,1.37,19.35
997,1,1.34,19.27
998,1,1.32,19.17
999,1,1.31,19.07
1000,1,1.3,18.97
1001,1,1.35,15.97
1002,1,1.39,12.97
1003,1,1.42,12.97
1004,1,1.45,12.92
1005,1,1.44,12.62
1006,1,1.45,12.39
1007,1,1.5,12.39
1008,1,1.6,12.45
1009,1,1.74,12.55
1010,1,1.85,12.84
1011,1,1.93,13.25
1012,1,2.02,13.2
1013,1,2.11,13
1014,1,2.05,13.21
1015,1,1.96,13.52
1016,1,1.93,13.56
1017,1,1.91,13.56
1018,1,2,13.11
1019,1,2.09,12.62
1020,1,2.1,12.59
1021,1,2.11,12.59
1022,1,2.03,12.59
1023,1,1.96,12.59
1024,1,1.91,12.59
1025,1,1.87,12.59
1026,1,1.89,12.59
1027,1,1.9,12.61
1028,1,1.9,12.71
1029,1,1.9,12.44
1030,1,1.91,11.46
1031,1,1.91,11.03
1032,1,1.9,11.53
1033,1,1.86,11.68
1034,1,1.8,11.38
1035,1,1.79,11.08
1036,1,1.83,10.78
1037,1,1.85,10.63
1038,1,1.86,10.6
1039,1,1.86,10.58
1040,1,1.86,10.55
1041,1,1.9,10.01
1042,1,1.9,9.95
1043,1,1.91,9.93
1044,1,1.91,9.9
1045,1,1.91,9.88
1046,1,1.91,9.85
1047,1,1.91,9.82
1048,1,1.92,9.79
1049,1,1.92,9.76
1050,1,1.92,9.74
1051,1,1.92,9.71
1052,1,1.92,9.69
1053,1,1.93,9.66
1054,1,1.93,9.64
1055,1,1.93,9.61
1056,1,1.93,9.58
1057,1,1.93,9.56
1058,1,1.93,9.53
1059,1,1.94,9.51
1060,1,1.94,9.48
1061,1,1.94,9.45
1062,1,1.94,9.43
1063,1,1.94,9.4
1064,1,1.95,9.38
1065,1,1.95,9.35
1066,1,1.95,9.32
1067,1,1.95,9.3
1068,1,1.95,9.27
1069,1,1.96,9.25
1070,1,1.96,9.22
1071,1,1.96,9.2
1072,1,1.96,9.17
1073,1,1.96,9.14
1074,1,1.96,9.12
1075,1,1.97,9.09
1076,1,1.97,9.07
1077,1,1.97,9.04
1078,1,1.97,9.01
1079,1,1.98,8.98
1080,1,1.98,8.95
1081,1,1.98,8.93
1082,1,1.98,8.9
1083,1,2.07,8.65
1084,1,2.17,8.35
1085,1,2.27,8.49
1086,1,2.37,8.69
1087,1,2.73,8.7
1088,1,3.08,8.62
1089,1,2.84,5.94
1090,1,2.61,3.81
1091,1,2.52,7.48
1092,1,2.41,10.64
1093,1,2.23,10.64
1094,1,2.12,10.73
1095,1,2.26,11.12
1096,1,2.41,11.41
1097,1,2.57,11.41
1098,1,2.7,11.38
1099,1,2.75,11.28
1100,1,2.65,11.26
1101,1,2.34,11.36
1102,1,2.18,11.46
1103,1,2.21,11.56
1104,1,2.31,11.56
1105,1,2.48,11.46
1106,1,2.39,11.08
1107,1,2.07,10.48
1108,1,1.9,10.2
1109,1,1.79,10.07
1110,1,1.75,10.07
1111,1,1.71,10.07
1112,1,1.65,10.17
1113,1,1.6,10.24
1114,1,1.61,10.14
1115,1,1.61,10.06
1116,1,1.59,10.06
1117,1,1.57,10.13
1118,1,1.53,10.44
1119,1,1.49,10.68
1120,1,1.47,10.78
1121,1,1.45,10.23
1122,1,1.44,8.65
1123,1,1.43,8.95
1124,1,1.42,11.84
1125,1,1.41,12.98
1126,1,1.4,12.69
1127,1,1.36,12.68
1128,1,1.31,12.88
1129,1,1.26,12.88
1130,1,1.2,12.78
1131,1,1.36,11.23
1132,1,1.59,9.2
1133,1,1.66,8.65
1134,1,1.7,8.35
1135,1,1.79,8.32
1136,1,1.88,8.32
1137,1,1.86,8.51
1138,1,1.86,8.69
1139,1,1.86,8.59
1140,1,1.83,8.91
1141,1,1.76,9.69
1142,1,1.72,10.22
1143,1,1.71,10.53
1144,1,1.67,10.64
1145,1,1.61,10.65
1146,1,1.62,10.71
1147,1,1.66,10.81
1148,1,1.67,10.91
1149,1,1.67,11.02
1150,1,1.7,11.2
1151,1,1.74,11.39
1152,1,1.69,11.41
1153,1,1.63,11.41
1154,1,1.68,11.41
1155,1,1.72,11.37
1156,1,1.78,10.98
1157,1,1.82,10.69
1158,1,1.79,10.99
1159,1,1.76,11.24
1160,1,1.71,11.34
1161,1,1.68,11.26
1162,1,1.69,10.67
1163,1,1.69,10.23
1164,1,1.67,10.13
1165,1,1.66,10.1
1166,1,1.64,10.21
1167,1,1.61,10.21
1168,1,1.56,10.11
1169,1,1.54,10.07
1170,1,1.55,10.07
1171,1,1.52,10.07
1172,1,1.45,10.07
1173,1,1.39,9.97
1174,1,1.33,9.87
1175,1,1.33,9.67
1176,1,1.34,9.48
1177,1,1.35,10.08
1178,1,1.36,10.65
1179,1,1.19,10.43
