id,H,T
376,1.3,10.06
377,1.3,10.06
378,1.3,10.06
379,1.3,10.06
380,1.3,10.06
381,1.3,10.06
382,1.3,10.06
383,1.3,10.06
384,1.3,10.06
385,1.3,10.06
386,1.3,10.06
387,1.3,10.06
388,1.3,10.06
389,1.3,10.06
390,1.3,10.06
391,1.3,10.06
392,1.3,10.06
393,1.3,10.06
394,1.3,10.06
395,1.3,10.06
396,1.3,10.06
397,1.3,10.06
398,1.3,10.06
399,1.3,10.06
400,1.3,10.06
401,1.3,10.06
402,1.3,10.06
403,1.3,10.06
404,1.3,10.06
405,1.3,10.06
406,1.3,10.06
407,1.3,10.06
408,1.3,10.06
409,1.3,10.06
410,1.3,10.06
411,1.3,10.06
412,1.3,10.06
413,1.3,10.06
414,1.3,10.06
415,1.3,10.06
416,1.3,10.06
417,1.3,10.06
418,1.3,10.06
419,1.3,10.06
420,1.3,10.06
421,1.3,10.06
422,1.3,10.06
423,1.3,10.06
424,1.3,10.06
425,1.3,10.06
426,1.3,10.06
427,1.3,10.06
428,1.3,10.06
429,1.3,10.06
430,1.3,10.06
431,1.3,10.06
432,1.3,10.06
433,1.3,10.06
434,1.3,10.06
435,1.3,10.06
436,1.3,10.06
437,1.3,10.06
438,1.3,10.06
439,1.3,10.06
440,1.3,10.06
441,1.3,10.06
442,1.3,10.06
443,1.3,10.06
444,1.3,10.06
445,1.3,10.06
446,1.3,10.06
447,1.3,10.06
448,1.3,10.06
449,1.3,10.06
450,1.3,10.06
451,1.3,10.06
452,1.3,10.06
453,1.3,10.06
454,1.3,10.06
455,1.3,10.06
456,1.3,10.06
457,1.3,10.06
458,1.3,10.06
459,1.3,10.06
460,1.3,10.06
461,1.3,10.06
462,1.3,10.06
463,1.3,10.06
464,1.3,10.06
465,1.3,10.06
466,1.3,10.06
467,1.3,10.06
468,1.3,10.06
469,1.3,10.06
470,1.3,10.06
471,1.3,10.06
472,1.3,10.06
473,1.3,10.06
474,1.3,10.06
475,1.3,10.06
476,1.3,10.06
477,1.3,10.06
478,1.3,10.06
479,1.3,10.06
480,1.3,10.06
481,1.3,10.06
482,1.3,10.06
483,1.3,10.06
484,1.3,10.06
485,1.3,10.06
486,1.3,10.06
487,1.3,10.06
488,1.3,10.06
489,1.59,9.79
490,1.62,9.82
491,1.63,9.62
492,1.65,9.42
493,1.69,9.21
494,1.72,9.87
495,1.73,11.87
496,1.72,13.01
497,1.69,13.11
498,1.64,13.1
499,1.59,13
500,1.59,12.84
501,1.62,12.65
502,1.61,12.7
503,1.57,12.91
504,1.53,12.81
505,1.5,12.62
506,1.52,12.73
507,1.56,12.93
508,1.54,12.78
509,1.51,12.55
510,1.48,12.33
511,1.44,12.04
512,1.41,11.81
513,1.38,11.58
514,1.35,11.36
515,1.32,11.03
516,1.28,10.53
517,1.28,10.25
518,1.32,10.25
519,1.36,10.25
520,1.38,10.25
521,1.44,10.2
522,1.52,10.1
523,1.56,8.7
524,1.58,6.63
525,1.61,5.92
526,1.63,5.83
527,1.67,5.99
528,1.7,6.19
529,1.69,6.39
530,1.67,6.58
531,1.64,6.58
532,1.61,6.58
533,1.57,6.28
534,1.53,5.96
535,1.45,5.34
536,1.4,4.84
537,1.44,4.84
538,1.47,4.84
539,1.47,4.84
540,1.43,7.58
541,1.43,10.16
542,1.44,12.14
543,1.45,11.94
544,1.45,11.83
545,1.41,11.93
546,1.36,12
547,1.29,12
548,1.26,12.13
549,1.27,12.42
550,1.28,12.28
551,1.3,11.66
552,1.38,10.59
553,1.49,9.23
554,1.26,9.13
555,0.81,9.84
556,0.68,10.07
557,0.73,10.07
558,0.74,10.07
559,0.76,10.07
560,0.8,10.07
561,0.83,10.07
562,0.84,10.07
563,0.84,10.1
564,0.83,10.2
565,0.83,10.26
566,0.84,10.26
567,0.84,10.43
568,0.82,10.83
569,0.8,12.63
570,0.77,15.88
571,0.75,17.3
572,0.74,17.4
573,0.75,17.56
574,0.78,17.75
575,0.79,17.95
576,0.81,18.15
577,0.81,17.99
578,0.82,17.69
579,0.82,15.34
580,0.83,12.41
581,0.83,11.82
582,0.84,11.61
583,0.87,11.6
584,0.9,11.6
585,1.02,13.38
586,0.98,12.96
587,0.96,12.81
588,0.94,12.67
589,0.93,12.53
590,0.91,12.38
591,0.9,12.24
592,0.88,12.1
593,0.87,11.96
594,0.85,11.81
595,0.84,11.67
596,0.82,11.53
597,0.8,11.09
598,0.78,9.97
599,0.76,9.3
600,0.77,9.3
601,0.78,10.15
602,0.81,12.05
603,0.84,12.92
604,0.87,12.82
605,0.92,12.66
606,0.99,12.46
607,1.05,11.26
608,1.1,9.55
609,1.16,9.03
610,1.23,8.97
611,1.29,9.26
612,1.34,9.51
613,1.31,10.84
614,1.3,10.74
615,1.3,10.57
616,1.33,10.04
617,1.33,9.87
618,1.3,9.87
619,1.36,10.2
620,1.45,10.7
621,1.48,10.84
622,1.49,10.84
623,1.52,10.94
624,1.56,11.07
625,1.6,11.19
626,1.64,11.32
627,1.68,11.45
628,1.72,11.57
629,1.76,11.7
630,1.8,11.82
631,1.84,11.95
632,1.88,12.08
633,1.92,12.2
634,1.96,12.33
635,2,12.45
636,2.04,12.58
637,2.08,12.71
638,2.12,12.83
639,2.16,12.96
640,2.2,13.08
641,2.24,13.21
642,2.28,13.33
643,2.32,13.46
644,2.36,13.59
645,2.41,13.71
646,2.45,13.84
647,2.49,13.96
648,2.54,14.14
649,2.58,14.27
650,2.62,14.39
651,2.68,14.5
652,2.85,14.5
653,2.98,14.48
654,2.93,14.38
655,2.94,14.28
656,3.08,14.18
657,3.39,14.11
658,1.88,14.28
659,1.97,14.03
660,2,14.09
661,2.17,14.1
662,2.27,14.1
663,2.3,14.59
664,2.3,14.7
665,2.3,14.6
666,2.33,10.92
667,2.35,7.23
668,2.31,10.77
669,2.3,13.93
670,2.53,14.04
671,2.72,14.35
672,2.69,15.66
673,2.62,16.35
674,2.44,15.14
675,2.39,14.33
676,2.58,14.33
677,2.6,14.29
678,2.31,14.19
679,2.32,14.22
680,2.74,14.42
681,2.71,14.52
682,2.23,9.01
683,2.23,8.93
684,2.26,8.63
685,2.27,8.54
686,2.28,8.45
687,2.29,8.36
688,2.29,8.27
689,2.3,8.19
690,2.31,8.1
691,2.32,8.01
692,2.33,7.92
693,2.33,7.84
694,2.34,7.75
695,2.24,7.85
696,2.16,7.9
697,2.23,7.61
698,2.27,7.39
699,2.21,7.59
700,2.17,7.71
701,2.21,7.51
702,2.24,7.3
703,2.27,7.1
704,2.28,6.8
705,2.27,6.31
706,2.26,6.01
707,2.26,6.01
708,2.25,6.06
709,2.25,6.16
710,2.22,8.49
711,2.15,12.37
712,2.1,12.15
713,2.05,9.18
714,2.11,7.5
715,2.17,6.8
716,2.11,7.09
717,2.05,7.34
718,1.95,7.34
719,1.88,7.5
720,1.91,8.2
721,1.96,8.73
722,2.03,8.83
723,2.09,8.83
724,2.12,8.63
725,2.11,8.59
726,2.04,8.79
727,1.98,8.99
728,1.93,9.2
729,1.85,9.4
730,1.75,9.59
731,1.71,9.73
732,1.71,9.83
733,1.68,9.79
734,1.64,9.69
735,1.6,9.36
736,1.57,8.96
737,1.51,8.82
738,1.43,8.71
739,1.43,8.99
740,1.44,9.29
741,1.41,8.99
742,1.39,8.75
743,1.36,9.36
744,1.34,8.89
745,1.32,7.22
746,1.36,6.6
747,1.44,6.65
748,1.51,6.69
749,1.59,6.73
750,1.66,6.77
751,1.74,6.81
752,1.81,6.86
753,1.89,6.9
754,1.96,6.94
755,2.04,6.98
756,2.11,7.03
757,2.18,7.07
758,2.26,7.11
759,2.33,7.15
760,2.31,7.15
761,2.29,7.14
762,2.27,7.04
763,2.3,6.85
764,2.24,7.12
765,2.18,7.41
766,2.17,7.72
767,2.12,7.96
768,1.94,7.99
769,1.9,7.7
770,1.87,8.52
771,1.81,11.49
772,1.82,11.98
773,1.85,11.98
774,1.85,11.72
775,1.85,11.42
776,1.86,11.4
777,1.88,11.4
778,1.94,11.4
779,2.01,11.41
780,1.91,11.41
781,1.81,11.88
782,1.79,15.9
783,1.76,18.85
784,1.7,15.47
785,1.66,12.6
786,1.67,11.77
787,1.68,11.15
788,1.69,10.94
789,1.72,10.78
790,1.76,10.68
791,1.81,10.53
792,1.84,10.33
793,1.83,10.37
794,1.78,10.57
795,1.76,10.77
796,1.76,10.97
797,1.75,11.32
798,1.75,11.72
799,1.7,11.87
800,1.64,11.97
801,1.65,12.08
802,1.66,12.18
803,1.61,12.32
804,1.58,12.37
805,1.55,12.37
806,1.55,12.33
807,1.55,12.23
808,1.54,12.13
809,1.51,12.01
810,1.48,11.89
811,1.46,11.77
812,1.43,11.66
813,1.41,11.54
814,1.38,11.42
815,1.35,11.3
816,1.33,11.18
817,1.3,11.07
818,1.27,10.95
819,1.25,10.83
820,1.24,10.82
821,1.23,10.82
822,1.21,11.12
823,1.19,11.4
824,1.17,11.31
825,1.16,11.22
826,1.16,11.22
827,1.15,11.28
828,1.12,11.69
829,1.09,11.98
830,1.06,11.88
831,1.04,10.74
832,1.06,6.9
833,1.09,6.03
834,1.12,11.62
835,1.08,12.66
836,1.02,12.76
837,1.04,13.02
838,1.08,13.33
839,1.11,13.12
840,1.14,12.81
841,1.15,12.87
842,1.15,12.97
843,1.17,13.17
844,1.19,13.54
845,1.19,16.42
846,1.18,19.16
847,1.12,19.26
848,1.08,19.06
849,1.12,17.15
850,1.15,15.63
851,1.13,15.44
852,1.12,14.98
853,1.13,13.54
854,1.14,12.31
855,1.13,11.48
856,1.15,11.07
857,1.2,11.16
858,1.25,11.22
859,1.3,11.22
860,1.32,11.22
861,1.33,11.22
862,1.32,11.03
863,1.3,10.74
864,1.3,10.76
865,1.33,11.02
866,1.31,10.92
867,1.29,10.89
868,1.25,11.58
869,1.2,12.22
870,1.14,12.43
871,1.1,12.53
872,1.12,12.43
873,1.11,12.33
874,1.1,12.24
875,1.07,12.18
876,1.02,12.18
905,0.72,14.62
906,0.77,14.51
907,0.77,14.51
908,1.22,10.46
909,1.8,5.3
910,1.87,5.19
911,1.81,6.1
912,1.79,6
913,1.87,5.8
914,1.95,5.54
915,1.98,5.35
916,2.09,5.23
917,2.31,5.23
918,2.35,5.49
919,2.22,5.99
920,2.22,5.95
921,2.31,5.55
922,2.4,5.41
923,2.5,5.41
924,2.42,5.68
925,2.26,6.08
926,2.21,6.19
927,2.18,6.19
928,2.15,5.95
929,2.12,5.64
930,2.11,5.96
931,2.11,6.36
932,2.06,6.48
933,2.01,6.58
934,1.95,6.48
935,1.88,6.38
936,1.76,6.38
937,1.66,6.58
938,1.66,8.36
939,1.65,9.85
940,1.61,9.75
941,1.6,9.04
942,1.67,6.42
943,1.71,4.71
944,1.71,4.41
945,1.76,4.83
946,1.81,5.6
947,2,5.73
948,2.24,5.64
949,2.24,5.38
950,2.18,5.07
951,2.23,5.02
952,2.3,5.02
953,2.26,5.02
954,2.2,5.03
955,2.19,5.13
956,2.16,5.22
957,2.06,5.22
958,1.96,5.25
959,1.84,5.45
960,1.77,5.59
961,1.84,5.49
962,1.89,5.6
963,1.85,6.41
964,1.79,6.81
965,1.69,6.31
966,1.63,5.96
967,1.68,5.86
968,1.72,5.8
969,1.74,5.79
970,1.72,6.27
971,1.67,7.13
972,1.61,7.99
973,1.55,8.94
974,1.5,9.8
975,1.43,10.92
976,1.38,11.79
977,1.32,12.65
978,1.27,13.51
979,1.22,14.37
980,1.16,15.24
981,1.11,16.1
982,1.06,16.96
983,1,17.82
984,0.95,18.69
985,0.96,19.2
986,1.05,19.3
987,1.15,19.35
988,1.26,19.35
989,1.34,19.35
990,1.4,19.35
991,1.41,19.35
992,1.4,19.36
993,1.42,19.36
994,1.45,19.36
995,1.42,19.36
996,1.37,19.35
997,1.34,19.27
998,1.32,19.17
999,1.31,19.07
1000,1.3,18.97
1001,1.35,15.97
1002,1.39,12.97
1003,1.42,12.97
1004,1.45,12.92
1005,1.44,12.62
1006,1.45,12.39
1007,1.5,12.39
1008,1.6,12.45
1009,1.74,12.55
1010,1.85,12.84
1011,1.93,13.25
1012,2.02,13.2
1013,2.11,13
1014,2.05,13.21
1015,1.96,13.52
1016,1.93,13.56
1017,1.91,13.56
1018,2,13.11
1019,2.09,12.62
1020,2.1,12.59
1021,2.11,12.59
1022,2.03,12.59
1023,1.96,12.59
1024,1.91,12.59
1025,1.87,12.59
1026,1.89,12.59
1027,1.9,12.61
1028,1.9,12.71
1029,1.9,12.44
1030,1.91,11.46
1031,1.91,11.03
1032,1.9,11.53
1033,1.86,11.68
1034,1.8,11.38
1035,1.79,11.08
1036,1.83,10.78
1037,1.85,10.63
1038,1.86,10.6
1039,1.86,10.58
1040,1.86,10.55
1041,1.9,10.01
1042,1.9,9.95
1043,1.91,9.93
1044,1.91,9.9
1045,1.91,9.88
1046,1.91,9.85
1047,1.91,9.82
1048,1.92,9.79
1049,1.92,9.76
1050,1.92,9.74
1051,1.92,9.71
1052,1.92,9.69
1053,1.93,9.66
1054,1.93,9.64
1055,1.93,9.61
1056,1.93,9.58
1057,1.93,9.56
1058,1.93,9.53
1059,1.94,9.51
1060,1.94,9.48
1061,1.94,9.45
1062,1.94,9.43
1063,1.94,9.4
1064,1.95,9.38
1065,1.95,9.35
1066,1.95,9.32
1067,1.95,9.3
1068,1.95,9.27
1069,1.96,9.25
1070,1.96,9.22
1071,1.96,9.2
1072,1.96,9.17
1073,1.96,9.14
1074,1.96,9.12
1075,1.97,9.09
1076,1.97,9.07
1077,1.97,9.04
1078,1.97,9.01
1079,1.98,8.98
1080,1.98,8.95
1081,1.98,8.93
1082,1.98,8.9
1083,2.07,8.65
1084,2.17,8.35
1085,2.27,8.49
1086,2.37,8.69
1087,2.73,8.7
1088,3.08,8.62
1089,2.84,5.94
1090,2.61,3.81
1091,2.52,7.48
1092,2.41,10.64
1093,2.23,10.64
1094,2.12,10.73
1095,2.26,11.12
1096,2.41,11.41
1097,2.57,11.41
1098,2.7,11.38
1099,2.75,11.28
1100,2.65,11.26
1101,2.34,11.36
1102,2.18,11.46
1103,2.21,11.56
1104,2.31,11.56
1105,2.48,11.46
1106,2.39,11.08
1107,2.07,10.48
1108,1.9,10.2
1109,1.79,10.07
1110,1.75,10.07
1111,1.71,10.07
1112,1.65,10.17
1113,1.6,10.24
1114,1.61,10.14
1115,1.61,10.06
1116,1.59,10.06
1117,1.57,10.13
1118,1.53,10.44
1119,1.49,10.68
1120,1.47,10.78
1121,1.45,10.23
1122,1.44,8.65
1123,1.43,8.95
1124,1.42,11.84
1125,1.41,12.98
1126,1.4,12.69
1127,1.36,12.68
1128,1.31,12.88
1129,1.26,12.88
1130,1.2,12.78
1131,1.36,11.23
1132,1.59,9.2
1133,1.66,8.65
1134,1.7,8.35
1135,1.79,8.32
1136,1.88,8.32
1137,1.86,8.51
1138,1.86,8.69
1139,1.86,8.59
1140,1.83,8.91
1141,1.76,9.69
1142,1.72,10.22
1143,1.71,10.53
1144,1.67,10.64
1145,1.61,10.65
1146,1.62,10.71
1147,1.66,10.81
1148,1.67,10.91
1149,1.67,11.02
1150,1.7,11.2
1151,1.74,11.39
1152,1.69,11.41
1153,1.63,11.41
1154,1.68,11.41
1155,1.72,11.37
1156,1.78,10.98
1157,1.82,10.69
1158,1.79,10.99
1159,1.76,11.24
1160,1.71,11.34
1161,1.68,11.26
1162,1.69,10.67
1163,1.69,10.23
1164,1.67,10.13
1165,1.66,10.1
1166,1.64,10.21
1167,1.61,10.21
1168,1.56,10.11
1169,1.54,10.07
1170,1.55,10.07
1171,1.52,10.07
1172,1.45,10.07
1173,1.39,9.97
1174,1.33,9.87
1175,1.33,9.67
1176,1.34,9.48
1177,1.35,10.08
1178,1.36,10.65
1179,1.19,10.43
1180,1.17,11.01
1181,1.14,11.2
1182,1.13,11.21
1183,1.11,11.21
1184,1.17,11.21
1185,1.23,11.2
1186,1.3,11.1
1187,1.36,11.02
1188,1.39,11.02
1189,1.43,11.05
1190,1.47,11.15
1191,1.5,11.22
1192,1.51,11.22
1193,1.52,11.4
1194,1.5,11.89
1195,1.31,5.05
1196,1.31,5.05
1197,1.31,5.05
1198,1.31,5.05
1199,1.31,5.05
1200,1.31,5.05
1201,1.31,5.05
1202,1.31,5.05
1203,1.31,5.05
1204,1.31,5.05
1205,1.31,5.05
1206,1.31,5.05
1207,1.31,5.05
1208,1.31,5.05
1209,1.31,5.05
1210,1.31,5.05
1211,1.31,5.05
1212,1.31,5.05
1213,1.31,5.05
1214,1.31,5.05
1215,1.31,5.05
1216,1.31,5.05
1217,1.31,5.05
1218,1.31,5.05
1219,1.31,5.05
1220,1.31,5.05
1221,1.31,5.05
1222,1.31,5.05
1223,1.31,5.05
1224,1.31,5.05
1225,1.31,5.05
1226,1.31,5.05
1227,1.31,5.05
1228,1.31,5.05
1229,1.31,5.05
1230,1.31,5.05
1231,1.31,5.05
1232,1.31,5.05
1233,1.31,5.05
1234,1.31,5.05
1235,1.31,5.05
1236,1.31,5.05
1237,1.31,5.05
1238,1.31,5.05
1239,1.31,5.05
1240,1.31,5.05
1241,1.31,5.05
1242,1.31,5.05
1243,1.31,5.05
1244,1.31,5.05
1245,1.31,5.05
1246,1.31,5.05
1247,1.31,5.05
1248,1.31,5.05
1249,1.31,5.05
1250,1.31,5.05
1251,1.31,5.05
1252,1.31,5.05
1253,1.31,5.05
1254,1.31,5.05
1255,1.31,5.05
1256,1.31,5.05
1257,1.31,5.05
1258,1.31,5.05
1259,1.31,5.05
1260,1.31,5.05
1261,1.31,5.05
1262,1.31,5.05
1263,1.31,5.05
1264,1.31,5.05
1265,1.31,5.05
1266,1.31,5.05
1267,1.31,5.05
1268,1.31,5.05
1269,1.31,5.05
1270,1.31,5.05
1271,1.31,5.05
1272,1.31,5.05
1273,1.31,5.05
1274,1.31,5.05
1275,1.31,5.05
1276,1.31,5.05
1277,1.31,5.05
1278,1.31,5.05
1279,1.31,5.05
1280,1.31,5.05
1281,1.31,5.05
1282,1.31,5.05
1283,1.31,5.05
1284,1.31,5.05
1285,1.31,5.05
1286,1.31,5.05
1287,1.31,5.05
1288,1.31,5.05
1289,1.31,5.05
1290,1.31,5.05
1291,1.31,5.05
1292,1.31,5.05
1293,1.31,5.05
1294,1.31,5.05
1295,1.31,5.05
1296,1.31,5.05
1297,1.31,5.05
1298,1.31,5.05
1299,1.31,5.05
1300,1.31,5.05
1301,1.31,5.05
1302,1.31,5.05
1303,1.31,5.05
1304,1.31,5.05
1305,1.31,5.05
1306,1.31,5.05
1307,1.31,5.05
1308,1.31,5.05
1309,1.31,5.05
1310,1.31,5.05
1311,1.31,5.05
1312,1.31,5.05
1313,1.31,5.05
1314,1.31,5.05
1315,1.31,5.05
1316,1.31,5.05
1317,1.31,5.05
1318,1.31,5.05
1319,1.31,5.05
1320,1.31,5.05
1321,1.31,5.05
1322,1.31,5.05
1323,1.31,5.05
1324,1.31,5.05
1325,1.31,5.05
1326,1.31,5.05
1327,1.31,5.05
1328,1.31,5.05
1329,1.31,5.05
1330,1.31,5.05
1331,1.31,5.05
1332,1.31,5.05
1333,1.31,5.05
1334,1.31,5.05
1335,1.31,5.05
1336,1.31,5.05
1337,1.31,5.05
1338,1.31,5.05
1339,1.31,5.05
1340,1.31,5.05
1341,1.31,5.05
1342,1.31,5.05
1343,1.31,5.05
1344,1.31,5.05
1345,1.31,5.05
1346,1.31,5.05
1347,1.31,5.05
1348,1.31,5.05
1349,1.31,5.05
1350,1.31,5.05
1351,1.31,5.05
1352,1.31,5.05
1353,1.31,5.05
1354,1.31,5.05
1355,1.31,5.05
1356,1.31,5.05
1357,1.31,5.05
1358,1.31,5.05
1359,1.31,5.05
1360,1.31,5.05
1361,1.31,5.05
1362,1.31,5.05
1363,1.31,5.05
1364,1.31,5.05
1365,1.31,5.05
1366,1.31,5.05
1367,1.31,5.05
1368,1.31,5.05
1369,1.31,5.05
1370,1.31,5.05
1371,1.31,5.05
1372,1.31,5.05
1373,1.31,5.05
1374,1.31,5.05
1375,1.31,5.05
1376,1.31,5.05
1377,1.31,5.05
1378,1.31,5.05
1379,1.31,5.05
1380,1.31,5.05
1381,1.31,5.05
1382,1.31,5.05
1383,1.31,5.05
1384,1.31,5.05
1385,1.31,5.05
1386,1.31,5.05
1387,1.31,5.05
1388,1.31,5.05
1389,1.31,5.05
